,imdb_id,budget,Metascore
199,tt2267998,61000000,79.0
200,tt2713180,68000000,64.0
201,tt2692250,127000000,47.0
202,tt1840309,85000000,48.0
203,tt1877832,250000000,75.0
204,tt2872732,40000000,61.0
205,tt1291150,125000000,31.0
206,tt1956620,40000000,36.0
207,tt2872718,8500000,76.0
208,tt2109248,210000000,32.0
209,tt2278388,30000000,88.0
210,tt2582802,3300000,88.0
211,tt2103281,170000000,79.0
212,tt0455944,55000000,57.0
213,tt2170439,42000000,40.0
214,tt1872181,200000000,53.0
215,tt1631867,178000000,71.0
216,tt2788710,44000000,52.0
217,tt2179136,58800000,72.0
218,tt1528100,140000000,52.0
219,tt0831387,160000000,62.0
220,tt1587310,180000000,56.0
221,tt2402157,15000000,38.0
222,tt1204977,5000000,38.0
223,tt1646971,145000000,77.0
224,tt3235888,2000000,83.0
225,tt2333784,90000000,35.0
226,tt1490017,60000000,83.0
227,tt1850397,13000000,24.0
228,tt1121096,95000000,30.0
229,tt2980516,15000000,71.0
230,tt1924435,17000000,30.0
231,tt0829150,70000000,40.0
232,tt1911658,132000000,53.0
233,tt2180411,50000000,69.0
234,tt1253863,110000000,48.0
235,tt0435651,25000000,47.0
236,tt2294449,50000000,71.0
237,tt0365907,28000000,57.0
238,tt1109624,55000000,77.0
239,tt3442006,7000000,49.0
240,tt2883512,11000000,68.0
241,tt2975578,9000000,50.0
242,tt2467046,16000000,12.0
243,tt1065073,4000000,100.0
244,tt2937898,20000000,79.0
245,tt1267297,100000000,47.0
246,tt1959490,125000000,68.0
247,tt1872194,50000000,48.0
248,tt2968804,12000000,29.0
249,tt1086772,40000000,31.0
250,tt2004420,18000000,68.0
251,tt1355630,11000000,46.0
252,tt2626350,45000000,45.0
253,tt2582846,12000000,69.0
254,tt1408253,25000000,41.0
255,tt1791528,20000000,81.0
256,tt1205537,60000000,57.0
257,tt2024469,50000000,56.0
258,tt2397535,5500000,69.0
259,tt1971325,7000000,37.0
260,tt1600196,12600000,69.0
261,tt1234721,120000000,52.0
262,tt2209764,100000000,42.0
263,tt2203939,40000000,39.0
264,tt0864835,145000000,59.0
265,tt0458481,65000000,46.0
266,tt2357291,103000000,49.0
267,tt2096672,40000000,36.0
268,tt2177771,70000000,52.0
269,tt1809398,65000000,59.0
270,tt1020072,20000000,80.0
271,tt3612616,4900000,74.0
272,tt2515030,17000000,56.0
273,tt2305051,15000000,74.0
274,tt1921064,130000000,39.0
275,tt1972779,26000000,29.0
276,tt1823664,65000000,33.0
277,tt2262227,50000000,67.0
278,tt2170593,13000000,64.0
279,tt2369135,66000000,39.0
280,tt2980648,22000000,55.0
281,tt0787474,60000000,61.0
282,tt1126590,10000000,62.0
283,tt1085492,18000000,19.0
284,tt2910814,4000000,54.0
285,tt2106361,50000000,44.0
286,tt1552224,25000000,33.0
287,tt2172934,28000000,40.0
288,tt2980706,50000000,48.0
289,tt1742334,35000000,41.0
290,tt2994190,1000000,54.0
291,tt2011159,13200000,26.0
292,tt3316960,5000000,72.0
293,tt2870612,5000000,39.0
294,tt1100089,24000000,81.0
295,tt2318092,20000000,30.0
296,tt2345737,12250000,64.0
297,tt2239832,24000000,38.0
298,tt0900387,15000000,63.0
299,tt2463288,15000000,25.0
300,tt3322940,6500000,37.0
301,tt1418377,65000000,30.0
302,tt1800246,8000000,36.0
303,tt2223990,27000000,54.0
304,tt1430612,28000000,40.0
305,tt2321549,2000000,86.0
